Date,Close/Last,RSI
8/6/18,209.07,81.168013
8/3/18,207.99,80.236664
8/2/18,207.39,79.735568
8/1/18,201.5,73.885708
7/31/18,190.29,48.342287
7/30/18,189.91,46.753324
7/27/18,190.98,50.705895
7/26/18,194.21,65.824699
7/25/18,194.82,69.338722
7/24/18,193,64.207899
7/23/18,191.61,59.555922
7/20/18,191.44,58.968919
7/19/18,191.88,61.032358
7/18/18,190.4,56.415435
7/17/18,191.45,61.032658
7/16/18,190.91,59.498387
7/13/18,191.33,61.184716
7/12/18,191.03,60.464371
7/11/18,187.88,52.056195
7/10/18,190.35,61.248826
7/9/18,190.58,62.168881
7/6/18,187.97,55.313201
7/5/18,185.4,46.763617
7/3/18,183.92,40.903615
7/2/18,187.18,52.3209
6/29/18,185.11,43.272047
6/28/18,185.5,44.710897
6/27/18,184.16,38.374355
6/26/18,184.43,39.188828
6/25/18,182.17,27.615183
6/22/18,184.92,34.886454
6/21/18,185.46,36.589073
6/20/18,186.5,39.970349
6/19/18,185.69,35.812448
6/18/18,188.74,46.797046
6/15/18,188.84,47.224471
6/14/18,190.8,56.294434
6/13/18,190.7,55.905561
6/12/18,192.28,64.003516
6/11/18,191.23,60.589143
6/8/18,191.7,62.996373
6/7/18,193.46,72.735666
6/6/18,193.98,75.854007
6/5/18,193.31,74.59078
6/4/18,191.83,71.641249
6/1/18,190.24,68.055911
5/31/18,186.87,57.903654
5/30/18,187.5,61.174783
5/29/18,187.9,63.215473
5/25/18,188.58,66.61541
5/24/18,188.15,65.561274
5/23/18,188.36,66.483975
5/22/18,187.16,63.868803
5/21/18,187.63,65.675179
5/18/18,186.31,63.032411
5/17/18,186.99,65.365753
5/16/18,188.18,69.412765
5/15/18,186.44,66.699585
5/14/18,188.15,72.378103
5/11/18,188.59,73.833784
5/10/18,190.04,78.517416
5/9/18,187.36,75.983145
5/8/18,186.05,74.668506
5/7/18,185.16,73.79131
5/4/18,183.83,72.51105
5/3/18,176.89,64.32762
5/2/18,176.57,63.881409
5/1/18,169.1,51.005841
4/30/18,165.26,41.329572
4/27/18,162.32,32.087435
4/26/18,164.22,35.323897
4/25/18,163.65,33.513248
4/24/18,162.94,31.358977
4/23/18,165.24,34.630383
4/20/18,165.72,35.322501
4/19/18,172.8,48.078245
4/18/18,177.84,62.550012
4/17/18,178.24,63.924407
4/16/18,175.82,59.021699
4/13/18,174.73,56.632568
4/12/18,174.14,55.364825
4/11/18,172.44,51.703643
4/10/18,173.25,53.588571
4/9/18,170.05,46.676653
4/6/18,168.38,42.666201
4/5/18,172.8,51.978268
4/4/18,171.61,49.296851
4/3/18,168.39,41.317099
4/2/18,166.68,36.543887
3/29/18,167.78,38.34982
3/28/18,166.48,34.929521
3/27/18,168.34,37.616872
3/26/18,172.77,45.045662
3/23/18,164.94,19.874214
3/22/18,168.85,25.02596
3/21/18,171.27,29.249357
3/20/18,175.24,38.955827
3/19/18,175.3,39.132465
3/16/18,178.02,48.015331
3/15/18,178.65,50.400187
3/14/18,178.44,49.649942
3/13/18,179.97,55.11658
